,beat,beat_num,district,sector,count_l_stops,count_bus_stops,count_metra_stops,count_restaurants,count_bars,count_daycares,count_entertainment,count_businesses,road_distance_ft,TOTAL POPULATION,dist_to_police,dist_to_hospital
121,3,0234,02,3,0.0,34.0,1.0,84.0,30.0,4.0,6.0,149.0,123556.07805443878,10197.949944547956,11578.187300627342,5493.229839908166
122,2,1124,11,2,0.0,28.0,0.0,10.0,1.0,4.0,0.0,13.0,118974.79048377564,2985.2251884997145,2060.8012649305724,2746.5004667839694
123,3,0233,02,3,0.0,45.0,0.0,8.0,2.0,1.0,1.0,22.0,294237.21101049864,6174.993814025544,6342.789413137532,3019.0485639095104
124,3,0231,02,3,1.0,16.0,0.0,13.0,2.0,1.0,1.0,14.0,103333.45834098353,3715.4437253385486,3394.2873964590367,2684.399491346719
125,1,0113,01,1,4.0,12.0,0.0,91.0,23.0,1.0,8.0,212.0,46732.83391382662,1746.2672034443165,6933.482573579837,6425.5759777314015
126,3,0934,09,3,0.0,34.0,0.0,13.0,0.0,2.0,0.0,15.0,219072.62327805348,5060.251110211239,6643.0601432823705,9167.443031667008
127,3,0932,09,3,0.0,29.0,0.0,11.0,0.0,1.0,0.0,26.0,195465.03677597528,6155.930676078027,7517.437015111941,11421.031853752604
128,2,0822,08,2,0.0,48.0,0.0,60.0,12.0,4.0,0.0,104.0,302573.93422538566,22558.325369070582,5031.303771918492,10231.432519643067
129,2,1024,10,2,1.0,24.0,0.0,32.0,3.0,0.0,1.0,86.0,151619.8885339672,11569.102513251344,2475.8461728776833,3852.178994054576
130,1,0811,08,1,0.0,68.0,0.0,63.0,20.0,4.0,2.0,139.0,393738.6566492629,22122.914607780953,20483.866435412605,25799.811745798757
131,3,0235,02,3,0.0,56.0,2.0,73.0,12.0,4.0,5.0,62.0,245104.28053196552,10910.589505116244,8948.382714515748,1954.0407178278324
132,1,2515,25,1,0.0,57.0,1.0,65.0,13.0,7.0,4.0,134.0,278208.52171806555,16943.945408847212,1274.4225787462522,7445.525288135704
133,1,1814,18,1,0.0,41.0,0.0,71.0,39.0,10.0,8.0,108.0,208987.63706717195,10335.6567686647,6081.264167058032,4735.870678038619
134,1,0711,07,1,1.0,42.0,0.0,10.0,1.0,0.0,1.0,17.0,277542.80983332475,5090.701282214046,5598.675900791557,3336.581415064535
135,3,1231,12,3,2.0,71.0,0.0,71.0,18.0,2.0,7.0,56.0,176583.52159414592,8750.450657905314,4180.605236444644,1337.7105746297282
136,3,1533,15,3,1.0,46.0,0.0,21.0,3.0,1.0,0.0,53.0,139003.23428600503,7038.111660848581,5596.390738259589,3765.5431686863963
137,2,1125,11,2,0.0,17.0,0.0,2.0,0.0,0.0,0.0,17.0,82390.50575754198,1947.006784180913,4330.8157627745395,4980.8608554503335
138,2,1225,12,2,1.0,53.0,0.0,31.0,4.0,1.0,0.0,46.0,198466.60085943446,5846.227116498869,6917.14417287989,1493.5461344340806
139,3,1134,11,3,1.0,35.0,0.0,16.0,0.0,1.0,0.0,24.0,139296.2423471864,3489.1944929947904,659.1876187576731,2208.874339345836
140,3,1133,11,3,0.0,25.0,0.0,12.0,0.0,3.0,0.0,21.0,176262.42631664904,6840.819771844371,3120.885039317751,1845.387099060506
141,3,1132,11,3,1.0,27.0,0.0,22.0,0.0,0.0,0.0,21.0,132821.82951763843,4900.259675535048,6092.969493985689,4476.423716678908
142,3,1131,11,3,0.0,29.0,0.0,14.0,1.0,0.0,0.0,30.0,138347.74178227276,3537.0919772271604,8722.630000734092,6749.606447174491
143,2,0123,01,2,2.0,32.0,1.0,122.0,77.0,5.0,24.0,212.0,146459.6469277788,13521.624950395479,4777.8364857707,8690.238136259639
144,3,2532,25,3,0.0,26.0,0.0,24.0,1.0,3.0,1.0,71.0,162326.348958321,10608.014433684471,3565.2198317959283,9742.14761255097
145,3,1135,11,3,1.0,32.0,0.0,12.0,0.0,1.0,0.0,41.0,179028.07507685892,5589.092070555325,3351.8896461046193,3316.0341805825547
146,2,0124,01,2,0.0,19.0,0.0,39.0,11.0,0.0,0.0,77.0,177057.8474543906,816.4875931068227,4582.715411092461,8537.28247175879
147,3,0132,01,3,0.0,29.0,2.0,51.0,45.0,5.0,12.0,144.0,278350.1663622994,10875.720532944582,3240.1066723880663,4298.587096830021
148,1,1812,18,1,2.0,29.0,0.0,119.0,48.0,5.0,13.0,126.0,129317.28665943205,8365.503112489152,6837.5134692212305,1220.642598840091
149,3,1233,12,3,0.0,43.0,0.0,61.0,13.0,5.0,2.0,125.0,293422.93255960295,6373.273275753772,3564.8955916293125,2645.2284538090025
150,2,1023,10,2,1.0,27.0,0.0,36.0,4.0,1.0,1.0,87.0,211161.6298050088,5246.687139359548,4761.330598820805,1174.2208469951584
151,2,1022,10,2,1.0,46.0,0.0,15.0,0.0,1.0,0.0,41.0,194593.1474208969,5064.789464269906,2046.9687031600342,1907.2632358300425
152,2,1021,10,2,0.0,22.0,0.0,5.0,0.0,1.0,0.0,6.0,124356.55002516664,5045.43299348349,1916.2657117910626,4283.561672843652
153,3,2531,25,3,0.0,26.0,0.0,24.0,1.0,4.0,0.0,60.0,142957.69145545515,7586.424415581578,3725.126169825995,7447.283819579624
154,1,1011,10,1,0.0,19.0,0.0,8.0,0.0,1.0,0.0,28.0,184361.53837060748,6950.8986433122955,5806.339526095637,6067.398556890544
155,1,1014,10,1,1.0,28.0,0.0,14.0,0.0,2.0,0.0,39.0,120621.89660507294,5637.559363827068,3165.0582273665077,5966.425464597238
156,1,0914,09,1,1.0,62.0,0.0,167.0,42.0,12.0,5.0,231.0,307775.4408372578,18014.183737724845,4370.868311663701,4328.917823355636
157,3,1235,12,3,0.0,45.0,0.0,61.0,19.0,2.0,7.0,236.0,376607.6488306256,9827.025672508526,3719.228555538065,7780.889735106223
158,3,1034,10,3,0.0,65.0,0.0,72.0,13.0,1.0,1.0,193.0,320008.4039467725,11544.895531120224,8067.63739483127,5497.41917298939
159,3,1033,10,3,0.0,30.0,0.0,38.0,8.0,0.0,2.0,161.0,191323.4914958251,19593.728404214366,5545.152864339511,4647.663027092778
160,1,1013,10,1,0.0,36.0,0.0,38.0,5.0,5.0,2.0,121.0,189272.97566107172,10553.29724944909,5980.1998822680125,8327.08626063183
161,1,0913,09,1,2.0,50.0,0.0,42.0,12.0,7.0,2.0,134.0,254110.59776099306,14769.482602640617,2375.071605863948,9426.569841123091
162,3,0133,01,3,0.0,40.0,1.0,5.0,1.0,1.0,0.0,48.0,170849.76249830442,5619.142005570877,4747.4341433406635,1534.4718745635332
163,1,0714,07,1,0.0,21.0,0.0,11.0,0.0,1.0,0.0,28.0,139742.54620834396,3405.886990365178,3449.777246642461,7567.996595920344
164,1,0912,09,1,1.0,68.0,0.0,52.0,6.0,7.0,0.0,151.0,419626.1296230182,14747.875362552557,6995.234299414084,11258.51080298039
165,3,1032,10,3,0.0,26.0,0.0,40.0,5.0,2.0,1.0,77.0,180243.5952086733,11002.296112052965,7109.678975255106,7499.684799414447
166,3,1031,10,3,0.0,47.0,0.0,67.0,10.0,0.0,2.0,116.0,307388.32358835946,20608.777936176222,9966.22736382113,11443.658462772264
167,1,1412,14,1,2.0,39.0,0.0,50.0,19.0,1.0,5.0,115.0,160946.42386342265,11731.443409975185,6040.663972115779,5086.701357330204
168,1,0211,02,1,1.0,47.0,1.0,37.0,3.0,0.0,1.0,68.0,197766.66603443597,7553.461741628518,2311.9643992292536,4528.573070195656
169,1,0915,09,1,1.0,60.0,0.0,68.0,22.0,5.0,1.0,154.0,315224.27188284864,12456.090952430144,3003.072907561425,8165.696874799682
170,2,1421,14,2,0.0,21.0,0.0,34.0,10.0,4.0,0.0,57.0,169405.57143251735,10800.892152140488,2817.4890907681183,4654.75356683561
171,3,1931,19,3,0.0,39.0,0.0,46.0,10.0,6.0,3.0,168.0,283897.028320298,11671.342565216506,7304.178471188838,7014.7277987249345
172,3,1932,19,3,0.0,19.0,0.0,98.0,50.0,5.0,10.0,154.0,198904.83880655823,11581.513920349606,6995.616195131157,3765.131559213152
173,1,1411,14,1,0.0,37.0,0.0,73.0,37.0,5.0,4.0,123.0,246518.16175639784,12938.22313678632,4532.763799301445,8735.236544575908
174,2,2523,25,2,0.0,35.0,0.0,37.0,10.0,2.0,4.0,122.0,178712.96785892127,14483.721917283649,9775.131497301047,1766.0253641056722
175,2,2521,25,2,0.0,45.0,0.0,69.0,7.0,3.0,4.0,215.0,282629.7037069836,19733.417468935146,6853.76459613809,6041.992565233365
176,1,2514,25,1,0.0,41.0,0.0,89.0,18.0,10.0,4.0,156.0,237509.8739867715,17463.094378663965,5574.485214647954,4526.539572725988
177,3,1935,19,3,0.0,34.0,0.0,133.0,64.0,10.0,12.0,191.0,171026.66279677604,15283.90376847106,7015.983298373881,2000.881971891517
178,1,2511,25,1,0.0,49.0,0.0,32.0,4.0,2.0,0.0,99.0,288797.38859435584,14831.208620518019,10019.669995471311,5410.57930013406
179,3,1432,14,3,0.0,32.0,0.0,64.0,29.0,7.0,8.0,191.0,253288.58135427412,7756.360243090208,4936.442709436818,6119.450743053867
